Envelope,From,To,Date,year,period_label,period_color,placeFrom,placeTo,lat_from,lon_from,lat_to,lon_to,tooltip
S157,Luis Mitrovic Balbontín,Winold Tjark Reiss,08-11-1994,1994.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile","New York, USA",-33.4489,-70.6693,40.7128,-74.006,1994 · Luis Mitrovic Balbontín → Winold Tjark Reiss
S157,Luis Mitrovic Balbontín,Winold Tjark Reiss,16-11-1994,1994.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile","New York, USA",-33.4489,-70.6693,40.7128,-74.006,1994 · Luis Mitrovic Balbontín → Winold Tjark Reiss
S157,Winold Tjark Reiss,Luis Mitrovic Balbontín,08-11-1994,1994.0,Chilean (1938–1970 / 1986–2008),#16A085,"New York, United States","Santiago, Chile",40.7128,-74.006,-33.4489,-70.6693,1994 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S158,Winold Tjark Reiss,Luis Mitrovic Balbontín,16-07-1937,1937.0,European (1934–1938),#9B59B6,"Vienna, Austria","Antwerp, Belgium",48.2082,16.3738,51.2194,4.4025,1937 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S159,Winold Tjark Reiss,Luis Mitrovic Balbontín,30-12-1936,1936.0,European (1934–1938),#9B59B6,"La Tour de Peilz, Switzerland","Kitzbühel, Austria",46.4547,6.8659,47.4458,12.3925,1936 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S160,Winold Tjark Reiss,Luis Mitrovic Balbontín,18-12-1937,1937.0,European (1934–1938),#9B59B6,"Cuzco, Peru","Santiago, Chile",-13.532,-71.9675,-33.4489,-70.6693,1937 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S161,Winold Tjark Reiss,Luis Mitrovic Balbontín,19-01-1940,1940.0,Chilean (1938–1970 / 1986–2008),#16A085,"New York, United States","Santiago, Chile",40.7128,-74.006,-33.4489,-70.6693,1940 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S162,Winold Tjark Reiss,Luis Mitrovic Balbontín,23-03-1978,1978.0,United States (1971–1985),#D4AC0D,"Beja, Portugal","Boston, Massachusetts, USA",38.0154,-7.8633,42.3601,-71.0589,1978 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S163,Winold Tjark Reiss,Luis Mitrovic Balbontín,21-04-1977,1977.0,United States (1971–1985),#D4AC0D,"Barcelona, Spain","Boston, Massachusetts, USA",41.3851,2.1734,42.3601,-71.0589,1977 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S164,Winold Tjark Reiss,Luis Mitrovic Balbontín,08-04-1977,1977.0,United States (1971–1985),#D4AC0D,"Islas Canarias, Spain","Boston, Massachusetts, USA",28.2916,-16.6291,42.3601,-71.0589,1977 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S171,Angela Gana,Luis Mitrovic Balbontín,04-02-1942,1942.0,Chilean (1938–1970 / 1986–2008),#16A085,"Algarrobo, Chile","Santiago, Chile",-33.3667,-71.65,-33.4489,-70.6693,1942 · Angela Gana → Luis Mitrovic Balbontín
S172,Angela Gana,Luis Mitrovic Balbontín,02-02-1942,1942.0,Chilean (1938–1970 / 1986–2008),#16A085,"Algarrobo, Chile","Santiago, Chile",-33.3667,-71.65,-33.4489,-70.6693,1942 · Angela Gana → Luis Mitrovic Balbontín
S173,Angela Gana,Luis Mitrovic Balbontín,12-02-1943,1943.0,Chilean (1938–1970 / 1986–2008),#16A085,"Algarrobo, Chile","Santiago, Chile",-33.3667,-71.65,-33.4489,-70.6693,1943 · Angela Gana → Luis Mitrovic Balbontín
S174,Angela Gana,Luis Mitrovic Balbontín,27-11-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"London, UK","Santiago, Chile",51.5074,-0.1278,-33.4489,-70.6693,1961 · Angela Gana → Luis Mitrovic Balbontín
S174,Luis Mitrovic Balbontín,Angela Gana,28-11-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile","London, UK",-33.4489,-70.6693,51.5074,-0.1278,1961 · Luis Mitrovic Balbontín → Angela Gana
S174,Angela Gana,Luis Mitrovic Balbontín,19-12-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"New York, United States","Santiago, Chile",40.7128,-74.006,-33.4489,-70.6693,1961 · Angela Gana → Luis Mitrovic Balbontín
S175,Angela Gana,Luis Mitrovic Balbontín,24-11-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"London, UK","Santiago, Chile",51.5074,-0.1278,-33.4489,-70.6693,1961 · Angela Gana → Luis Mitrovic Balbontín
